Date & Time,Product ID,Flow Type,Quantity
12-03-2025 00:00,34402,Outgoing,50
12-03-2025 00:00,34013,Outgoing,600
12-03-2025 00:00,34403,Outgoing,400
12-03-2025 00:00,34017,Outgoing,400
12-03-2025 00:00,35585,Outgoing,1500
12-03-2025 00:00,35578,Outgoing,400
12-03-2025 00:00,35576,Outgoing,400
12-03-2025 00:00,35598,Outgoing,32
12-03-2025 00:00,34015,Outgoing,1200
12-03-2025 00:00,35597,Outgoing,32
12-03-2025 00:00,31988,Outgoing,0
12-03-2025 00:00,31995,Outgoing,200
12-03-2025 00:00,32000,Outgoing,40
12-03-2025 00:00,31441,Outgoing,60
12-03-2025 00:00,31543,Outgoing,200
12-03-2025 00:00,31565,Outgoing,500
12-03-2025 00:00,31531,Outgoing,150
12-03-2025 00:00,31579,Outgoing,100
12-03-2025 00:00,31584,Outgoing,500
12-03-2025 00:00,32082,Outgoing,6
12-03-2025 00:00,35594,Outgoing,50
12-03-2025 00:00,35580,Outgoing,100
12-03-2025 00:00,34406,Outgoing,100
12-03-2025 00:00,34393,Outgoing,60
12-03-2025 00:00,31554,Outgoing,800
12-03-2025 00:00,31557,Outgoing,300
12-03-2025 00:00,31574,Outgoing,100
12-03-2025 00:00,31595,Outgoing,300
12-03-2025 00:00,31760,Outgoing,42
12-03-2025 00:00,35574,Outgoing,200
12-03-2025 00:00,35585,Outgoing,200
12-03-2025 00:00,34016,Outgoing,200
12-03-2025 00:00,34392,Outgoing,0
12-03-2025 00:00,34395,Outgoing,32
12-03-2025 00:00,31484,Outgoing,120
12-03-2025 00:00,31484,Outgoing,480
12-03-2025 00:00,31801,Outgoing,60
12-03-2025 00:00,31841,Outgoing,60
12-03-2025 00:00,31850,Outgoing,80
12-03-2025 00:00,31859,Outgoing,60
12-03-2025 00:00,31866,Outgoing,60
12-03-2025 00:00,31501,Outgoing,120
12-03-2025 00:00,31883,Outgoing,60
12-03-2025 00:00,31887,Outgoing,60
12-03-2025 00:00,31509,Outgoing,360
12-03-2025 00:00,31951,Outgoing,120
12-03-2025 00:00,31960,Outgoing,60
12-03-2025 00:00,31799,Outgoing,60
12-03-2025 00:00,31803,Outgoing,60
12-03-2025 00:00,31848,Outgoing,120
12-03-2025 00:00,31858,Outgoing,180
12-03-2025 00:00,31860,Outgoing,60
12-03-2025 00:00,31876,Outgoing,60
12-03-2025 00:00,31881,Outgoing,60
12-03-2025 00:00,31886,Outgoing,60
12-03-2025 00:00,31734,Outgoing,60
12-03-2025 00:00,31889,Outgoing,60
12-03-2025 00:00,31942,Outgoing,80
12-03-2025 00:00,31953,Outgoing,60
12-03-2025 00:00,31732,Outgoing,600
12-03-2025 00:00,31985,Outgoing,160
12-03-2025 00:00,31987,Outgoing,40
12-03-2025 00:00,31992,Outgoing,100
12-03-2025 00:00,31993,Outgoing,300
12-03-2025 00:00,31994,Outgoing,200
12-03-2025 00:00,31440,Outgoing,120
12-03-2025 00:00,31453,Outgoing,60
12-03-2025 00:00,31549,Outgoing,200
12-03-2025 00:00,31756,Outgoing,120
12-03-2025 00:00,31723,Outgoing,600
12-03-2025 00:00,31986,Outgoing,480
12-03-2025 00:00,32080,Outgoing,12
12-03-2025 00:00,35595,Outgoing,400
12-03-2025 00:00,35597,Outgoing,96
12-03-2025 00:00,31554,Outgoing,500
12-03-2025 00:00,31565,Outgoing,200
12-03-2025 00:00,31543,Outgoing,200
12-03-2025 00:00,31552,Outgoing,240
12-03-2025 00:00,31729,Outgoing,750
12-03-2025 00:00,31993,Outgoing,300
12-03-2025 00:00,32001,Outgoing,270
12-03-2025 00:00,31766,Outgoing,720
12-03-2025 00:00,31766,Outgoing,80
12-03-2025 00:00,34014,Outgoing,300
12-03-2025 00:00,34016,Outgoing,1000
12-03-2025 00:00,34408,Outgoing,100
12-03-2025 00:00,34403,Outgoing,200
12-03-2025 00:00,35574,Outgoing,500
12-03-2025 00:00,35580,Outgoing,200
12-03-2025 00:00,35585,Outgoing,800
